title,platform,psd_URL,icon_URL,price,status
WHAT THE GOLF?,PS4,https://psdeals.net/ua-store/game/2649981/what-the-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5758-CUSA26631_00-WHATTHEGOLF00001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
WHAT THE GOLF?,PS5,https://psdeals.net/ua-store/game/2649980/what-the-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5758-PPSA07441_00-WHATTHEGOLF00001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
Behind the Frame: Живые полотна,PS5,https://psdeals.net/ua-store/game/2649979/behind-the-frame-%D0%B6%D0%B8%D0%B2%D1%8B%D0%B5-%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%BD%D0%B0,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3245-PPSA13826_00-0511013769070323/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
AK-xolotl,PS5 / PS4,https://psdeals.net/ua-store/game/2649976/akxolotl,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3495-PPSA15962_00-0552197005709136/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,619.00₴,-1
Thunder Ray,PS4,https://psdeals.net/ua-store/game/2649973/thunder-ray,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2885-CUSA44078_00-THUNDERRAY01SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,1
Mahjong Woods,PS5,https://psdeals.net/ua-store/game/2649547/mahjong-woods,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1411-PPSA18220_00-0499003931030376/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,229.00₴,-1
Heavy Duty Challenge®: The Off-Road Truck Simulator,PS5,https://psdeals.net/ua-store/game/2649972/heavy-duty-challenge-the-offroad-truck-simulator,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2865-PPSA14200_00-0770081208632215/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,049.00₴",-1
Teocida + Estigma,PS4,https://psdeals.net/ua-store/game/2649546/teocida-estigma,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0546-CUSA44609_00-TEOCIDAESTIGMAEU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Summum Aeterna,PS4,https://psdeals.net/ua-store/game/2649545/summum-aeterna,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7009-CUSA41220_00-0515487716854744/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
Summum Aeterna,PS5,https://psdeals.net/ua-store/game/2649544/summum-aeterna,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7009-PPSA13679_00-0744053656904143/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
